Year,County Name,Type of Control,Total Revenue,Total Cost,Total Profit,Operating Margin
2010,Orange,Investor,1004358426.0,1002737162.0,1621264.0,0.88
2010,Alameda,City/County,1011626070.0,988078210.0,23547860.0,3.68
2010,Alameda,District,274653737.0,285279900.0,2016539.0,-6.22
2010,Los Angeles,Investor,309478844.0,306990388.0,2488456.0,3.72
2010,Alameda,Non-Profit,2268461716.0,2160116591.0,108345125.0,15.29
2010,Alameda,Non-Profit,1969635713.0,1946861949.0,22773764.0,3.98
2010,San Diego,Investor,740908985.0,740902769.0,6216.0,-6.52
2010,San Diego,Investor,55189081.0,54173986.0,1015095.0,5.32
2010,Los Angeles,Non-Profit,5403189.0,5347922.0,55267.0,1.04
2010,Orange,Investor,76157064.0,90751994.0,-14594930.0,-133.21
2010,Los Angeles,District,1072431837.0,1067805026.0,4626811.0,0.89
2010,San Bernardino,City/County,1284574645.0,1259104411.0,25470234.0,-0.18
2010,San Luis Obispo,Non-Profit,245671096.0,247025814.0,-1354718.0,-2.64
2010,San Luis Obispo,State,233819918.0,233819918.0,0.0,-4.33
2010,Los Angeles,Investor,41187252.0,35877631.0,5309621.0,14.31
2010,Los Angeles,Investor,33805046.0,35952902.0,-2147856.0,-26.56
2010,San Diego,Investor,32136507.0,27804173.0,4332334.0,19.16
2010,Ventura,Investor,25451427.0,23348611.0,2102816.0,11.05
2010,Kern,Investor,307865672.0,298984844.0,8880828.0,13.43
2010,Kern,Non-Profit,1127547742.0,1109102805.0,18444937.0,5.8
2010,San Bernardino,Investor,25716677.0,22678855.0,3037822.0,15.2
2010,Lassen,Non-Profit,81645755.0,71276892.0,10368863.0,25.13
2010,Los Angeles,Non-Profit,192129442.0,189103171.0,3026271.0,6.34
2010,San Bernardino,Investor,258212088.0,248133915.0,10078173.0,23.62
2010,El Dorado,Non-Profit,246811666.0,245813717.0,997949.0,21.17
2010,San Bernardino,District,32230383.0,31038383.0,1192000.0,-7.87
2010,Los Angeles,Investor,179795138.0,181068995.0,-1273857.0,-3.74
2010,Riverside,Non-Profit,37630580.0,37980558.0,-349978.0,-9.06
2010,Los Angeles,Non-Profit,305747504.0,301902653.0,3844851.0,2.63
2010,Los Angeles,Investor,44488128.0,36125151.0,8362977.0,33.6
2010,Butte,Non-Profit,41556882.0,41630052.0,-73170.0,-0.15
2010,Los Angeles,Investor,535302760.0,542589624.0,-7286864.0,-7.1
2010,Butte,City/County,4036473.0,4130383.0,-93910.0,-2.33
2010,Los Angeles,Non-Profit,893587741.0,895832123.0,-2244382.0,-0.96
2010,San Francisco,Non-Profit,3447273410.0,3240508118.0,206765292.0,16.91
2010,San Francisco,Non-Profit,520266794.0,545175100.0,-24908306.0,-21.98
2010,San Bernardino,Investor,34781421.0,28574805.0,6206616.0,27.92
2010,Los Angeles,Non-Profit,55008196.0,50646983.0,4361213.0,5.38
2010,Los Angeles,Non-Profit,9532822.0,9143612.0,389210.0,-9.01
2010,Los Angeles,Non-Profit,8200199397.0,8029633645.0,170565752.0,7.58
2010,Los Angeles,Investor,1430866385.0,1420021358.0,10845027.0,6.1
2010,Kings,Non-Profit,239804577.0,213438603.0,26365974.0,18.14
2010,Orange,Investor,172404199.0,178989489.0,-6585290.0,-15.2
2010,Alameda,Non-Profit,1097745194.0,1114041794.0,-16296600.0,-5.66
2010,Orange,Non-Profit,148312787.0,147588170.0,724617.0,1.75
2010,Madera,Non-Profit,957194257.0,928365662.0,28828595.0,4.1
2010,Los Angeles,Non-Profit,1288526359.0,1282050531.0,6475828.0,-12.07
2010,Orange,Non-Profit,1242095531.0,1232981332.0,9114199.0,1.78
2010,Santa Clara,Investor,14465647.0,14423699.0,41948.0,0.57
2010,San Francisco,Non-Profit,229631796.0,214601536.0,15030260.0,14.9
2010,San Bernardino,Investor,255174617.0,247534110.0,7640507.0,9.63
2010,Los Angeles,Non-Profit,1076462995.0,1043992278.0,32470717.0,8.24
2010,Los Angeles,Non-Profit,1666171577.0,1653865434.0,12306143.0,-1.18
2010,Fresno,Non-Profit,483543504.0,464221606.0,19321898.0,12.53
2010,Fresno,District,47960332.0,46240707.0,1719625.0,-1.88
2010,Fresno,State,343462052.0,343462052.0,0.0,0.0
2010,Los Angeles,Investor,146233208.0,147909215.0,-1676007.0,-4.95
2010,Orange,Investor,277966035.0,282300620.0,-4334585.0,-6.55
2010,Los Angeles,Investor,118866667.0,114838170.0,4073528.0,8.16
2010,Orange,Investor,92863335.0,87975152.0,4888183.0,8.26
2010,San Bernardino,City/County,10585440.0,10495946.0,89494.0,1.99
2010,Colusa,Non-Profit,60859342.0,60592750.0,266592.0,-2.18
2010,Los Angeles,Investor,196035272.0,187258307.0,8776965.0,24.17
2010,Los Angeles,Non-Profit,292762060.0,292375656.0,386404.0,-0.82
