Year,County Name,Type of Control,Total Revenue,Total Cost,Total Profit,Operating Margin
2013,Fresno,Non-Profit,126153467.0,132333887.0,-6180420.0,-17.08
2013,Orange,Investor,1444790210.0,1443464291.0,1325919.0,-0.07
2013,Alameda,City/County,1358233448.0,1322317629.0,35915819.0,-10.6
2013,Alameda,District,321395143.0,323749132.0,-2353989.0,-11.61
2013,Los Angeles,Investor,494054297.0,467603943.0,26450354.0,5.79
2013,Alameda,Non-Profit,1993455244.0,2054440983.0,-60985739.0,-11.26
2013,Alameda,Non-Profit,1589387012.0,1605838288.0,-16451276.0,-10.83
2013,San Diego,Investor,614367599.0,635048628.0,-20681029.0,-17.49
2013,San Diego,Investor,53401740.0,51751762.0,1649978.0,6.91
2013,Los Angeles,Non-Profit,5249327.0,5150458.0,98869.0,1.91
2013,Los Angeles,District,1295582626.0,1292259274.0,3323352.0,0.51
2013,San Bernardino,City/County,1478698388.0,1447930116.0,30768272.0,3.5
2013,San Luis Obispo,Non-Profit,149990515.0,152124906.0,-2134391.0,-7.29
2013,San Luis Obispo,State,442325666.0,418754371.0,23571295.0,5.33
2013,Sonoma,Investor,1924320.0,4875167.0,-2950847.0,-300.1
2013,Los Angeles,Investor,83597935.0,76259109.0,7542645.0,20.73
2013,Los Angeles,Investor,43188099.0,41083988.0,2104111.0,8.14
2013,San Diego,Investor,44262043.0,40720034.0,3542009.0,15.01
2013,Ventura,Investor,40191304.0,36485589.0,3705715.0,18.68
2013,Kern,Investor,396681637.0,395965878.0,715759.0,0.15
2013,Kern,Non-Profit,1308951576.0,1276900943.0,32050633.0,7.46
2013,San Bernardino,Investor,37296405.0,34699861.0,2596544.0,11.5
2013,Lassen,Non-Profit,78632601.0,71504582.0,7128019.0,18.81
2013,Los Angeles,Non-Profit,258574664.0,258270133.0,304531.0,0.51
2013,El Dorado,Non-Profit,307337912.0,295251459.0,12086453.0,14.99
2013,San Bernardino,District,40654085.0,43162719.0,-2508634.0,-34.93
2013,Riverside,Non-Profit,43240410.0,41983668.0,1256742.0,-0.13
2013,Los Angeles,Non-Profit,363177347.0,366847288.0,-3669941.0,-2.3
2013,Los Angeles,Investor,52565215.0,40134477.0,12430738.0,43.16
2013,Butte,Non-Profit,54966456.0,57790955.0,-2824499.0,-15.63
2013,Butte,City/County,932930.0,3213391.0,-2280462.0,-227.85
2013,Los Angeles,Non-Profit,1078426248.0,1066763593.0,11662655.0,2.69
2013,San Francisco,Non-Profit,3488427864.0,3469114008.0,19313856.0,1.06
2013,San Francisco,Non-Profit,501771531.0,555221129.0,-53449598.0,-48.45
2013,San Bernardino,Investor,38200309.0,30114007.0,8086302.0,34.34
2013,Los Angeles,Non-Profit,64335462.0,62101735.0,2233727.0,-0.95
2013,Los Angeles,City/County,13361916.0,13024160.0,337756.0,-6.95
2013,Los Angeles,Non-Profit,10830810096.0,10444780919.0,386029177.0,13.81
2013,Los Angeles,Investor,1335241497.0,1296331594.0,38909903.0,13.89
2013,Orange,Investor,173591562.0,178219783.0,-4628221.0,-10.06
2013,Alameda,Non-Profit,1184482637.0,1180249528.0,4233109.0,-10.01
2013,Orange,Non-Profit,155871014.0,145658914.0,10212100.0,17.82
2013,Madera,Non-Profit,1309290225.0,1196048671.0,113241554.0,16.74
2013,Los Angeles,Non-Profit,1800989216.0,1739886459.0,61102757.0,0.68
2013,Orange,Non-Profit,1424435230.0,1390011130.0,34424100.0,7.8
2013,Santa Clara,Investor,16739397.0,15854181.0,885216.0,10.5
2013,San Francisco,Non-Profit,290587881.0,281178151.0,9409730.0,9.66
2013,San Bernardino,Investor,364618618.0,356892971.0,7725647.0,6.28
2013,Los Angeles,Non-Profit,1160869215.0,1136549656.0,24319559.0,5.45
2013,Los Angeles,Non-Profit,2272719896.0,2208575280.0,64144616.0,4.94
2013,Fresno,Non-Profit,775622594.0,756018563.0,19604031.0,8.79
2013,Fresno,District,36813393.0,38745516.0,-1932123.0,-24.17
2013,Fresno,State,429361953.0,429361953.0,0.0,0.0
2013,Los Angeles,Investor,209134455.0,210524457.0,-1390002.0,-3.02
2013,Orange,Investor,254786594.0,265752128.0,-10965534.0,-20.9
2013,Los Angeles,Investor,153199752.0,145521304.0,7678448.0,11.69
2013,Orange,Investor,106226429.0,93463648.0,12762781.0,16.71
2013,San Bernardino,City/County,19818475.0,21464727.0,-1646252.0,-25.6
2013,Colusa,Non-Profit,69305047.0,66645987.0,2659060.0,10.83
2013,Los Angeles,Investor,296121072.0,299222395.0,-3101323.0,-7.67
2013,Los Angeles,Non-Profit,289299647.0,302227818.0,-12928171.0,-33.0
2013,San Bernardino,Non-Profit,749142708.0,768739315.0,-19596607.0,-11.06
