Year,County Name,Type of Control,Total Revenue,Total Cost,Total Profit,Operating Margin
2009,Los Angeles,Non-Profit,840852849.0,859259946.0,-18407097.0,-7.74
2009,Los Angeles,Investor,221155013.0,202059901.0,19095112.0,0.45
2009,Los Angeles,Investor,87604905.0,87581001.0,23904.0,-3.3
2009,Plumas,District,39345536.0,39239412.0,106124.0,-5.07
2009,Alameda,Non-Profit,1121528630.0,1105704265.0,15824365.0,4.96
2009,Riverside,Non-Profit,1972071111.0,1959592655.0,12478456.0,0.92
2009,Santa Clara,Non-Profit,1865835263.0,1828748645.0,37086618.0,9.53
2009,Imperial,City/County,433600164.0,428872253.0,4727911.0,4.02
2009,El Dorado,City/County,3424937.0,3424937.0,0.0,0.0
2009,Stanislaus,Non-Profit,753709183.0,754929087.0,-1219904.0,-0.42
2009,Los Angeles,Investor,221338672.0,216747564.0,4591108.0,9.76
2009,Butte,Non-Profit,1168031879.0,1165726659.0,2305220.0,3.44
2009,Siskiyou,Non-Profit,90154915.0,87324231.0,2830684.0,6.1
2009,Orange,State,152638031.0,152638031.0,0.0,-0.16
2009,San Diego,District,166207229.0,168422417.0,-2215188.0,-3.7
2009,Butte,Non-Profit,721565824.0,720286357.0,1279467.0,1.44
2009,Los Angeles,Non-Profit,237599456.0,235365496.0,2233960.0,2.72
2009,Orange,Investor,1528461086.0,1521774258.0,6686828.0,2.49
2009,Mendocino,Non-Profit,116755094.0,112020374.0,4734720.0,11.65
2009,Alameda,Investor,64747519.0,57667657.0,7079862.0,23.91
2009,San Luis Obispo,Non-Profit,472576615.0,465889408.0,6687207.0,7.74
2009,Fresno,City/County,7325484.0,7325484.0,0.0,-604.41
2009,Fresno,Investor,213437650.0,208273460.0,5164190.0,6.42
2009,Fresno,Investor,227979039.0,226250084.0,1728955.0,3.89
2009,Orange,Investor,382241460.0,377360506.0,4880954.0,7.8
2009,Los Angeles,Investor,1124678368.0,1112236388.0,12441980.0,6.6
2009,Los Angeles,Non-Profit,31439236.0,31420657.0,18579.0,0.14
2009,Monterey,Non-Profit,165939340.0,167610189.0,-1670849.0,-3.66
2009,Los Angeles,Non-Profit,1635756533.0,1623067715.0,12688818.0,3.28
2009,Los Angeles,Non-Profit,953442320.0,970301009.0,-16858689.0,-10.07
2009,Glenn,Non-Profit,27657917.0,27417623.0,240294.0,-3.05
2009,Santa Barbara,Non-Profit,159100257.0,148745717.0,10354540.0,17.15
2009,Kern,Investor,46061587.0,47014009.0,-952422.0,-2.71
2009,Los Angeles,Non-Profit,1263734422.0,1254987829.0,8746593.0,-5.19
2009,Santa Clara,Investor,2029427897.0,1953565453.0,75862444.0,16.27
2009,Los Angeles,Investor,224802762.0,226504511.0,-1701749.0,-5.54
2009,Kings,Non-Profit,656151332.0,646945105.0,9206227.0,4.99
2009,San Benito,District,197478842.0,197816582.0,-337740.0,-6.0
